tweet_text,cyberbullying_type
id make look like absolute pussy scar say anything face hahahahahaha,Offensive
id rather niggah,Offensive
care eat pussy,Offensive
care none bitch,Offensive
give fuck coon moment,Offensive
give fuck anyone say gamble stupid like constantly bitch money tf would go casino,Offensive
give fuck get long go hard sell drug credit card check strip sell pussy whatever jst dn b half assed,Offensive
know friend blunt sarcastic people probably think rag bitch,Offensive
know bitch trust bitch sooo easily still friend,Offensive
know bitch think player laugh loud bitch zero game,Offensive
iamshady know love coon as cuz,Offensive
unlike society post pic wave bring curl back hoe,Offensive
bradley cooper win oscar ryan gosling imma cut bitch,Offensive
california chrome go even money well might flip trash mean damn get oh humanity,Offensive
like hoe turn as frisbee,Offensive
ever saw kendall jones person id kill sight hate bitch anything life,Offensive
hair would seriously go perm genetics stone cold bitch,Offensive
hit shotty bitch bet body flip,Offensive
hold door open bitch betta say thank imma slam door ya back,Offensive
guy would definitely dress fuck right pussy guy,Offensive
born black would ton kid never work get lots free stuff amp bitch thank god drag would b,Offensive
wore tutu bitch would want dog gon na tell everyday,Offensive
kubiak player would pump painkiller tell stop pussy,Offensive
bitch bit dick would probably beat shit,Offensive
bitch fuss amp amp fight niggah thats hug amp amp boo w next bitch clearly doesnt gaf,Offensive
bitch bad n single single fo reason hoe prolly cray runna,Offensive
bitch make moan sex own soul,Offensive
chick want eat pussy leave accept gladly laugh loud,Offensive
spic ever talk white person white person kill self defense,Offensive
anxiety person would kill bitch fuckin fast,Offensive
anything ever say offend problem problem little bitch,Offensive
eat pussy make happy,Offensive
fuck know every niggah want,Offensive
blanket nip would harder search anne frank,Offensive
luke hemmings really think trash must fuck dirt bc boys beautiful dammit,Offensive
bf post pic daughter like keep scrolling comment necessary yes bitch know cute,Offensive
bitch wear bacon bra im take ass funky town,Offensive
gz trayvon would alive right second smoking bowl tweet bitch hoe nice kid,Offensive
everyone know real fake bitch know,Offensive
new local mall ghetto,Offensive
bitch really know,Offensive
pussy lip could talk ill go like whisper,Offensive
yo lady well text as good morning quit treat side hoe like wifey material,Offensive
wear dinner pay food im treat bitch like stranger,Offensive
tell badd bitch listen bad health,Offensive
one anglo saxon protestant right alive us none foreign filth,Offensive
pussy aint organic preservative free growth hormone fresh usda approve aint fuckin,Offensive
pussy come head want,Offensive
thing talk eyebrows get forest pussy,Offensive
world free sucka free would nigs left,Offensive
bitch turn crash,Offensive
bitch hang one time,Offensive
bitch new amount shit spoke twittah laugh loud,Offensive
bad bitch enjoyyaday,Offensive
fuck suck wat doin hoe,Offensive
yer gon na continue contrarian bitch go die time trifle,Offensive
yo pussy good pullout game weak,Offensive
like chocolate sodapop tweet bad happycolumbusday fuckin retard hypocrite gt,Offensive
bad bitch put ya hand high,Offensive
top notch bitch lem me holler,Offensive
bro bitch single eye,Offensive
suck dick sit pucker lip collagen muhfuckin bitch,Offensive
arent go stick one garbage recycle im go give single fuck im put trash,Offensive
can not turn instagram like follow real life shit trash,Offensive
fuck chriswebby either slackin b turd burgular c pussy face whichisit,Offensive
say thank someone hold door open bitch,Offensive
dont know uncle jj bitch,Offensive
get argument someone say nice life amp good luck ohio fuck bitch leave,Offensive
go barber shop friday charger snack bitch,Offensive
go strip club every weekend never experience earn pussy,Offensive
chemistry thing need time time bitch,Offensive
friend jump fight show overall pussy,Offensive
jump someone bitch,Offensive
jump someone bitch regardless situation,Offensive
like k gold rillos pussy,Offensive
bitch really care,Offensive
one hoe make know,Offensive
like cheese pizza pussy stay away lovely combination pizza,Offensive
say today internet duck dynasty northwestimperative useless whigger,Offensive
say anything knock ur boyfriend go bitch boyfriend pubeless runt,Offensive
see speak bitch,Offensive
slow puddle bitch,Offensive
sneak diss amp come tryna address initial issue amp say nothing bitch,Offensive
sweat pussy somethin new,Offensive
take long time text back hoe,Offensive
want come buy mufuckin front nowadays niccas play game hunned fenkellpayroll loud,Offensive
would follow george washington mean white trash,Offensive
little scared bitch possibility louisville purge go ferguson,Offensive
girl problem feel bad son get problem bitch one,Offensive
attractive bitch make drink tf think,Offensive
watch seahawks game hella bitch,Offensive
main reason dislike something popular chance little stupid idiot bitch baby child,Offensive
parent let drink underage fucking retard,Offensive
pussy stink aint goin heaven,Offensive
twitter private instagram public r probs trash talk thot,Offensive
iggy azaelia one hit wonder bad bitch,Offensive
ihate nosie bitch,Offensive
ihate mad bitch glad one,Offensive
ik bitch as saw mention tall as,Offensive
iknow couple motherfucker favorite line wouldnt thats young bitch stopp young mind,Offensive
ill fire nina like first day job bitch slept,Offensive
illist bitch alive,Offensive
im single bitch money shit,Offensive
im queer mmm,Offensive
im rich niggaaaaa need rich bitch,Offensive
im south side niggah fuck around fuck around,Offensive
im westside niggah know im rockin wit game,Offensive
im get pussy,Offensive
im allow trip bitch cant trip though,Offensive
im back bitch,Offensive
im do life gmel genuine im ready wake pussy breakfast everyday,Offensive
im elate pass creative gene daughter also get retarded gene,Offensive
im already know bust flow bitch hoe name miguel chillin nigga tono,Offensive
im young niggah chase in today learn im driver seat benz,Offensive
im young niggah tryna live life long,Offensive
im car jam taylor swift side bitch,Offensive
im mad james let drink shit payback bitch,Offensive
im never cuffin unless bitch grow act grow can not deal wit lil girl nbs,Offensive
im tongue kissing bitch though,Offensive
im nt rey talk dumbass bitch thats lose world really need save save try wrks,Offensive
im order real nicca get ta real nicca,Offensive
im retard real im sit get mad think daughter ignore remember aint,Offensive
im smoke good n bitch conceited jayreidofficial,Offensive
im sorry bitch last night,Offensive
im sorry use shit im worried next bitch unbothered threatenwho,Offensive
im start askin dese hoe nigga get sand pussy,Offensive
im still go trick treat thats free munchies bitch,Offensive
im bitch sometimes,Offensive
im big pussy come scary stuff,Offensive
im niggah really wan na ride wit,Offensive
im tire see disturb bitch tit,Offensive
im tire bitch actin like loyal laugh loud,Offensive
im try take word bitch outta vocabulary hardest shit ever,Offensive
im wearin one walmart jacket around walmart ghetto laugh as fuck,Offensive
im wit yo bitch smokin let keep mid imma roll potent,Offensive
ima home tomorrow line bitch,Offensive
ima knock pussy like fight,Offensive
ima knock pussy like fight night,Offensive
ima pull eat pussy dip,Offensive
ima pull eat pussy dip,Offensive
ima pull eat pussy n dip,Offensive
ima spread pussy like acre,Offensive
ima tear pussy uuuup,Offensive
imma get home around problem coon leave bar drank shot crown royal think still drive,Offensive
imma knock pussy like fight night,Offensive
resolve perfect bitch face,Offensive
da club makin movie feel like tyler perry fuckin niggas bitch dey like gt marry,Offensive
year support niggas bitch kid well gratitude die,Offensive
order real nicca gots real nicca,Offensive
news eyelid still spasming put mascara today bitch wtf,Offensive
redneck land tennessee,Offensive
word lil debbie bitch,Offensive
update find lots hardcore cock suck as pound pussy pulsing thrill,Offensive
indiana go give niccas shit pose win last game,Offensive
ion care fuck hoe,Offensive
ion kno im tonite jus kno gon end wit dick first pussy,Offensive
ion like ho cause talk motherfucker much ha real butt ugly ass dumb young as ho,Offensive
ion pay pussy pussy priceless go fishin pisces,Offensive
ion trust bitch,Offensive
iont care n bitch goin kinda shit thru,Offensive
irie bitch let borrow charger,Offensive
moyles retard lol start fellani instead ae rvp please come back fergie siralexferguson manchesterunited manchesterderby mufc,Offensive
wayne brady gon na choke bitch,Offensive
wayne brady gon na smack bitch,Offensive
anything go tonight besides bitch,Offensive
hawk fuck kind bird,Offensive
bitch real heat bruh,Offensive
ready bitch cause hair lay baabyshaay,Offensive
nothin cut bitch,Offensive
nothin cut bitch,Offensive
nothing like chase money cause purpose chase hoe vice versa,Offensive
nunn cut bitch,Offensive
start bitch,Offensive
zero hoe still go like degree plus tax,Offensive
happen black pack beat whitey make national news,Offensive
fuck retard can not say single thing house without blowback,Offensive
make sad know queer street anymore theonemiss luu olivialuu sadtweet,Offensive
worthless bitch like though,Offensive
open cloud part silk gt get room southside ghetto,Offensive
prolli seem like flirt iont want none hoe,Offensive
really nothin cut bitch,Offensive
principle matter bitch,Offensive
campaignseason bitch mikeofdoom,Offensive
degree bitch stuff animal wrap around neck onlyattheducksgame,Offensive
friday bitch,Offensive
mr g bitch mrs grohl know wineprobz,Offensive
bob schieffer holiday proud smitten good white guy hick damn everything everything,Offensive
lot fat bitch party right outfit way much fire function like,Offensive
recession everything retweet cindielu chase pussy never attractive,Offensive
sad sad day bitch lose sponsor,Offensive
beanie weather bitch,Offensive
minute since chill like use hope pussy still feel like use,Offensive
boner sunday bitch,Offensive
time feel like beening hard work woman stripper hoe night judge,Offensive
definitely bitch everything life rule money moral heartbreak,Offensive
either get pussy one,Offensive
go go go lil bitch,Offensive
iguana bitch n er thing,Offensive
lame buy clothes look like real military clothing wear make fun star bitch,Offensive
main bitch st ayyyeeee nikkiconner happy birthday babbbyyy,Offensive
wonder titanium ankle kill woo retard winter weather texas weather,Offensive
pear bitch pear,Offensive
unique ghetto hell,Offensive
sin interchangeable bezel bitch screw back thatsaproblem,Offensive
often see word disingenuous egregious cunt filth one sentence properly use point,Offensive
pour pineapple ciroc amp blast future mixtape maximum level bitch im vega,Offensive
real bitch know,Offensive
b day bitch koleworld,Offensive
pretty much confirm best bitch face planet,Offensive
really bitch try make difference someone else intentionally make point make feel like shit,Offensive
still spring bitch,Offensive
summer bitch,Offensive
summer bitch,Offensive
dyke chick cut hair barbershop look like future,Offensive
throw throat thursday make ghetto gaggler,Offensive
early talk eat pussy ate as week,Offensive
unbelievable american refuse kill okies mean american weak will trash,Offensive
wifey bitch money cuz money nothing life blur way go,Offensive
winter bitch,Offensive
brittany bitch,Offensive
million bad bitch world stucc stupid,Offensive
crazy hoe ken folk im talk friend family,Offensive
feel like wintertime bitch,Offensive
funny bitch nag jus mad cant,Offensive
gorg retweet anggxo bitch think june something briiixo,Offensive
hotter fast bitch thigh rub together run marathon,Offensive
like want sideline hoe dat shid never finna happin well live fuck dat rather say fuck,Offensive
okay smash one homeboy bitch girl long tell afterwards,Offensive
nature bird let one eat next thing know invite entire ecosystem shit car sfvsstl,Offensive
wayyyyy go push yo trash as music right,Offensive
ya boi popsley da ar aka real meek mill earth first pussy,Offensive
iv decide grow hair aint braid tho straight curl dis bitch,Offensive
ive get best friend function retard could,Offensive
ive never see part pussy town lolololol end song thoo,Offensive
jj watt grown man shit night let us get yankee,Offensive
jai may make appearance party love fag,Offensive
jake gettin da bitch rn,Offensive
jameis winston get benched stand table say fuck right pussy irony deep use shovel,Offensive
jameis tweet retweet mrcook fuck right pussy,Offensive
james big bitch basketball swear fuckin cramp seriously,Offensive
jammin sad song smoke square think bitch,Offensive
japanese babe maria ozawa get asian pussy fuck hard,Offensive
japanese mature cat spot old pussy split wide fill hard cock,Offensive
japanese teen trim pussy toyed green vibrator,Offensive
jason admit stuck bitch lol think much good everycunt naaaaa,Offensive
jazz jumbo dick corporation make bitch tap since,Offensive
jealous bitch shake head,Offensive
jealousy bitch,Offensive
jenna come one pair shoe take two pair amp four shirt case retard as go work laugh loud,Offensive
jenna play weeknd amp mac look us like theeeese bitch,Offensive
jennifer lawrence nude sooooo trash im still smashin though doubt,Offensive
jet lag bitch,Offensive
jk go pussy want love life seein scar shit,Offensive
joe rip nobel prize winner hes little bitch morningjoe,Offensive
joe young go shoot bitch,Offensive
john kerry sellout neverforget pussy screw troop vietnam reward disgusting,Offensive
john legend showin country bitch song,Offensive
johnathan martin straight pussy manup,Offensive
johnny punk bitch doe,Offensive
join crew bitch,Offensive
jonica look like hoe th superior,Offensive
jtfooooo pussy fleek,Offensive
julius pepper still seem retarded,Offensive
junior still pussy,Offensive
jus nicca n,Offensive
jus need bad bitch thats go always hold,Offensive
jus need nig mack wild win fk award though,Offensive
jus tire tell nicca young thug gah yesterday nicca believe,Offensive
young niggah wit promised future caseyveggies,Offensive
buy godsmack music new release pussy whine stfu turnthatshituplouder godsmack,Offensive
cause every party see dont mean bad bitch,Offensive
clean bitch boyfriendstruck clean insideandout ram tookforever nofliter,Offensive
cuz look mean like hoe,Offensive
offend word bitch look something bitch,Offensive
get shit bird bless,Offensive
someone casually ask ff stand car r fking serious foofighters bitch,Offensive
hand game zebra jack ass save us trouble watch,Offensive
hold goin crib bitch,Offensive
land orlando flight bumpy bitch,Offensive
like bitch typical shit step place elliptical shit wizard hearts mythical shit watch mystical shit,Offensive
look news story think fuck kinda way hillbilly,Offensive
make test bitch,Offensive
need bad bitch thats go always hold,Offensive
need know pussy like one time fine,Offensive
life wan na see someone family feud look family member say horrible answer retard,Offensive
order chinese food bitch bring cat,Offensive
pass ex neighborhood come across thought end side bitch,Offensive
read instagram profile luv grls princesses birth bitch choice yeaaah youre cool tryhard loser,Offensive
say bye parkerwidly last time see bitch ass four month thankgod,Offensive
saw lady look like honey boo boo mom goddamn bitch ugly,Offensive
saw wat daddysammy car bitch,Offensive
sayin hoe retweet pufntrees sole fuck bitch,Offensive
smoked whole th reserve thanks niggah blakkhoodie,Offensive
straight ignorant bitch wheretheyheadsat,Offensive
tie right shoe drive freeway swag bitch know,Offensive
trynna bad bitch come thru,Offensive
unfollowed another crazy bitch who next laugh loud,Offensive
wait day get probation know bitch gon na moon im gon na come back earth,Offensive
yell damn reek weed really stone fag tip cop walk haha bitch,Offensive
justin bieber fake permanent bitch face bug shit,Offensive
k dude seriously retard stop talk like start retard make change drool cup,Offensive
k michelle shape fake pretty manly bitch little mermaid hair look foolish,Offensive
kae amp chris come yall bitch couple,Offensive
kaetlin bitch,Offensive
kangaroo jac waynel jr bitch wit dry weave retweet taelar bby fuck look like hoe,Offensive
kanye new video bitch make mane bruh go throw shot barrack den come wit dat shit,Offensive
karma bitch,Offensive
karma bitch usually come around go around right people always catch lucky break,Offensive
karma bitch,Offensive
karma big bitch ever meet keep push button,Offensive
karma bad bitch remember,Offensive
karma theeeee big bitch,Offensive
karma sure bitch laughing loud,Offensive
karma bitch huh,Offensive
karma bitch,Offensive
katy grand exit tonight firehouse gt gt gt gt hasta la bye bye bitch,Offensive
kayci greet say hey cunt like make laugh loud,Offensive
keep year bitch reckless,Offensive
kenny lee get ta da light skin nicca dat eat chitlins,Offensive
kevin hart bitch,Offensive
kick dem fucc niccas da spot,Offensive
kick bitch right pussy,Offensive
kick bitch house like pam,Offensive
kick niccas tf outcha mention like,Offensive
kid bitch,Offensive
kierstens bitch squid hand squid hand,Offensive
kill body four play pussy weak tease impossible hold back orgasm heat sex,Offensive
kim kardashian look like tranny surgery,Offensive
kinda retweet peachpapayya mad friend retweet vianawf fat fuck funky nasty as hoe,Offensive
kinda want spit gum bitch hair,Offensive
kip tokuda yellow guy work niggerize seattle pd die bad another po hide wing replace,Offensive
kiss opinion conductor courtesy bitch,Offensive
kiss imik bitch add another second story think new record,Offensive
kiss bitch sucking,Offensive
knockin dent dis big bitch fwm everywhere emmanuel,Offensive
know bird wear pant cause pecker way,Offensive
know see know bitch hear,Offensive
kobe bryant bitch grow pussy,Offensive
krakin bitch ipem sippin wit element,Offensive
kratataaaaa swag bitch,Offensive
kyles bitch,Offensive
la place see baddest bitch world bus stop,Offensive
laugh as retweet iggyazalea post away bitch see meme word offer regard honestly care,Offensive
laugh as really call hoe laugh loud camerondurant vroomdet opea yeah hoe,Offensive
laugh as comeback somethinzfuckee beyyourmaster traybonmartin say twat side head shave like damn asshole,Offensive
lmaoo retweet pacdagoat tyga wife hoe teenager life suck,Offensive
lmaoo bean retweet shamargothoes bitch stupid shake head,Offensive
lmaooo gasp bitch much behind phone,Offensive
lmaooooooo retweet dontcallmekyrie record scratch retweet chinitaaah damn twitter famous bitch hea strippin,Offensive
lmaoooo whoelsebutkey nobetternoworst shade take swahili ho like den suaw lol,Offensive
laugh loud remember bitch say liked hair ask smfh wut yes,Offensive
laugh loud bitch yea go get bouncer eye ballin clearly pussy as,Offensive
lrg as nigguh,Offensive
lady next gon say cooch itch amp burn think get uti bitch something else,Offensive
lakers trash right,Offensive
lame niggaz wait line wait bitch wait create wait someone else shit,Offensive
lashontae bad bitch time,Offensive
last night bitch talk wan na smoke amp go wingstop amp st person think pay,Offensive
last year cuff bitch well ovaaaaaa,Offensive
last year cuffed bitch well,Offensive
latina bitch,Offensive
laughin bitch sullystyle,Offensive
lebron cry lil bitch,Offensive
lean wit rock wit az niccas laugh loud,Offensive
leave nicca traumatize,Offensive
leave bitchen bitch,Offensive
lebron warm jacket full bitch,Offensive
lebron go dunk hoe like ease,Offensive
lebron pussy always get picked cramp shit,Offensive
leg day make bitch,Offensive
lesbian like yo ho scissor timber,Offensive
lesson nfl heterosexual wat else need besides michael sam us fags get clue breeder thing,Offensive
let bitch try set go stuck rock nd dis mufuckin glock bitch bad terrible,Offensive
let niggah try,Offensive
let nigguh try fuck around fuck around fuck around meet daddy,Offensive
let fuck side hoe peace shake head retweet morganbaileyyy wish boyfriend would respond text,Offensive
let delete little bitch report mr olsen,Offensive
let find floyd mayweather bitter bitch today social network whohurtyou,Offensive
let see titty bitch ice cream,Offensive
let show pussy work retweet loyallamb brian mcknight accolade music everything everything,Offensive
let tell yall glass something sweet bitch bring full glass im think thing start gulp,Offensive
let niccas feel booty lmaort optimusprime take hood good,Offensive
let hoe greatrt keyawnagallatin bitch really reach side titty look,Offensive
let us go la support niccas matter,Offensive
let us run train bitch,Offensive
libertarian pussy think believe self defense yet want peaceful revolution,Offensive
life shit bitch amp money,Offensive
life come fast retweet indxgo guy today find side hoe,Offensive
life bitch appreciate,Offensive
life bitch every dog day,Offensive
life bitch every dog day,Offensive
life bitch appreciate mayne,Offensive
life fuckin short free bird,Offensive
life would much doper could order pussy like pizza,Offensive
life bitch amp die,Offensive
life bitch die tony,Offensive
light skin niggah,Offensive
light pretty as w yellow star lls,Offensive
like buddha give shit obama fuckin nazi fuck socialist retard fuckin iphone make laugh gt,Offensive
like hoe go satisfied body come miss hattiesburg let first tell,Offensive
like hello foot clearly back desk bitch,Offensive
like can not niggas thinkin ho tep talk time apart party set,Offensive
like nike bitch,Offensive
like skinny model boney bitch,Offensive
like bad kid bitch reckless,Offensive
like bitch,Offensive
like bitch man mean show fear pain strong others,Offensive
like play bitch,Offensive
like fucc get wit mama ajay damn lunch lady duddy montea lowkey amp light raggedy hoe one day,Offensive
like literally do texting someone text back slide bitch leave would win money,Offensive
like rd grade teacher use say either eat pussy one gon na jbilinovich jzolly,Offensive
like momma say waste yo time plzing de fake as bitch bum as dude cause go get nowhere pregnant,Offensive
like twat,Offensive
like real shit dude da closest nicca do see ai,Offensive
like get death touch retweet tenebris cor bitch stand front look like rogue xmen,Offensive
like nigga lie bitch amp wonder go crazy,Offensive
like bitch ernest somebody,Offensive
like hoe lay puppy eye go sayin stay wit,Offensive
like nigguhs pussy thesis,Offensive
likka downtown bitch secondline retweet ballhawk carter man yeah ball game teddy bridgewater gettin hit,Offensive
lil bitch,Offensive
lil riri sittin pretty bitch layin petty,Offensive
lima fear change yet want bitch much suck,Offensive
literally get shit seagull gon na fuckin die bird,Offensive
litterally can not wait weekend bad bitch,Offensive
little bitch,Offensive
little fuck gook smell like shit think motherfuckin bos fuck,Offensive
live bitch live lauren borrelli kathinator jenna saispas,Offensive
live bitch hashtag live,Offensive
laugh as rt freakyt vonshayeb nicca retweet freakyt wat fool,Offensive
laugh as play retweet funnyjulius get pussy easy believe omar epps brother steelers head coach son,Offensive
laugh ass look like retard today,Offensive
laugh as retweet dao yeah pussy cee retweet yolac come get breakfast boom retweet ceeross breakfast plz,Offensive
laugh as drake bullshit serena williams wallah look like tranny,Offensive
laugh as look hoe retweet rarehiphoppic,Offensive
laugh as shorty twitter name pussy chubby lmfao im dead,Offensive
lmao retweet chollie grape fish pussy wett,Offensive
lmao retweet humonthese harden look like last air bender bitch,Offensive
lmaoo leanandcuisine bad bitch hit match bad bitch bat eyelashes match,Offensive
lmaoo see come retweet datboyrayt alaaz fat bitch need love craig,Offensive
lmaoo man bitch think intelligent,Offensive
lmaoo tony spank maaad time bitch voice,Offensive
lmaooo retweet handsomeesco tranny open jar pickle,Offensive
lmaooo wait everybody talm card cracker miss,Offensive
lmaoooo retweet hand dahairline sister probably get pussy night retweet cut card neverforget,Offensive
lmaoooort bakegriffin remember bitch lotus flower bomb around time last year,Offensive
lmaoooooooo retweet chollie grape dump shyt outta fuck wrong perfect like angel pussy,Offensive
lmaoooooooo retweet heauxmersimpson angelo prolly nice shit madden lmao fat bitch,Offensive
laugh fuck as retweet gahdamnanimal fat hoe tight clothes lookin like half open biscuit,Offensive
laugh fuck as retweet luvv st eat pussy retweet danablack st retweet creativeblair really want brace way,Offensive
laugh fuck as straight retard shit,Offensive
laugh fuck as watch brokeback mountain taylor cuz never see aha queer mckinley,Offensive
lmfaooo adrienbroner two bad bitch give head dam time oldpics laugh loud,Offensive
lmfaoooo fizz baby mama snatch bitch soul,Offensive
lmfaooooo retweet miavenise can not trust bitch smile teeth,Offensive
lmfaoooooo retweet brycehamilton glad shorty twitter ig tryna famous columbus hoe,Offensive
lmfaooooooooo bro retweet brandnewandrew stripper twitter talk much money make tonight like bitch rob,Offensive
load bitch kool aid,Offensive
lock fat bitch room day mcdoubles hunger game,Offensive
laugh loud fact mikediggem baddest bitch porn star n stripper,Offensive
laugh loud active retweet sherinavictoria give fuck active hoe long fuck man need learn mind business,Offensive
laugh loud next time bitch,Offensive
laugh loud father bitch pour arizona tea one video,Offensive
laugh loud follow bitch unfollow cause talkin shit shit away two,Offensive
laugh loud never understood retard use atm pay fee get put gas pay credit price,Offensive
laugh loud see retweet jaywiz itsnotharold hell yeah bitch hate shit,Offensive
laugh loud nun wrong wit tryn da realist niccas n da city though salute,Offensive
laugh loud kid changed number ho,Offensive
laugh loud lebron bitch basketball back say goodbye sport center lebron center,Offensive
laugh loud nicca dime game get soo much clout niccas goin da store buy sum dice,Offensive
laugh loud retweet hurricanesensei vianawf need know pussy like one time fine,Offensive
laugh loud actually bitch please choke nut,Offensive
laugh loud random fist fight aka pussy shove match dnd tonight,Offensive
laugh loud honky talk trash do shit growup whitetrash,Offensive
laugh loud bitch,Offensive
laugh loud bitch,Offensive
laugh loud bitch hella mad ex like can not friends forget past,Offensive
laugh loud dat bitch petty,Offensive
laugh loud im curve bitch like im take,Offensive
laugh loud bitch stagger drunk,Offensive
laugh loud look loverhateme mike brown twitter look trash write lmao gentle giant as ferguson,Offensive
laugh loud niccas remember ginyu force,Offensive
laugh loud nigga still talk threw bitch shake head,Offensive
laugh loud petty as retweet breadtruckkbri lmmfaooooo drake hoe,Offensive
laugh loud trick niccas leave n right,Offensive
lol itzsweetz bitch ooop qt tiffany p rsche little twat,Offensive
lol since south automatically sound like fuck redneck hahahaha fuck stupid as,Offensive
lololol joey lattimes phone call retard,Offensive
lolololol hoe nyyce one,Offensive
long hair pussy time want,Offensive
longway bitch,Offensive
look look like give fuck half fuck square root fuck slope fuck zero,Offensive
look thot pussy pop usher,Offensive
look hoe man fuck hoe niggah let get smoke,Offensive
look bad bitch rachel dority,Offensive
look pussy yatchakhannah,Offensive
look look us niggas look pussy fuck,Offensive
look bitch go suck dick real street nicca wit dat sucka shit,Offensive
look rich act poor never trip bitch,Offensive
lookin bitch probably,Offensive
lookin like total swag fag ayeeee,Offensive
look like nappy head hoe reppin patrick ewing crew neck though,Offensive
look like next douche bag teabagger crown governor ghoul name ducey rhyme douchy azgov azvotes tcot gop,Offensive
lord please get ghetto as hospital,Offensive
los bitch taught true meaning gravity panty kiss ankle,Offensive
los pussy as lose point winnnnnnnnn,Offensive
lou lil bitch,Offensive
love bitch say remember baby say remember love end time,Offensive
lowkey get fan hoop skill lbcc aha niggah laugh loud,Offensive
lowkey still bitch,Offensive
loyal pussy forever bein well bitch thats pass around,Offensive
lucky bitch still ecuador,Offensive
luda say bitch bad well mine look well weather laugh loud,Offensive
murder retweet repmycityx fuck crazy bitch shit like happens feel bad ol boy,Offensive
macc amp cheese maccin bitch amp makin cheese,Offensive
mad pussy gym full fuck people,Offensive
make burger bitch,Offensive
make sure pussy clean cuz ima eat scream,Offensive
make artist cover sell pussy second gig bartender student,Offensive
make first impression best like nino brown ima cancel bitch,Offensive
makem eat as since eat pussy major nomore,Offensive
makeup save alot bitch single,Offensive
man hope think think hoe lezgnik,Offensive
man rather see morning selfies bitch dont change look case monday see jay bey poster ijs,Offensive
man swear today like nation hit tony drive day chink almost smash,Offensive
man think heifer yo old bitch first go fed nigga would smoke,Offensive
man wish bitch would stfu,Offensive
man tryin take intoxication charlie sheen level today go,Offensive
man tryna give chief keef mixtape chance shit trash,Offensive
man heartburn bitch,Offensive
man bad washington height chick dyckman like grab pussy yell good son still fuckin,Offensive
man bad bitch break niggaz tweet trap fee bullshit negativity niggaz line plate,Offensive
man lot fat bitch,Offensive
man da fuck let hoe background look like get damn zebra betawards,Offensive
man ugly bitch talk,Offensive
man wish big booty bytches would use nickname judy shy typical old,Offensive
man aunt petunia royal bitch,Offensive
mane fuck wake look da window showin like motherfucker outside good thing nicca go walmart yesterday good aone snack,Offensive
mann pussy throwback,Offensive
mann jada pickett badddddd bitch lawd,Offensive
maple room bitch sacto style,Offensive
marijuana turn good pussy great,Offensive
math forever confuse retard,Offensive
maury funny sometimes rude hoe need get knock fuck,Offensive
maybe text first read message respond k bitch ncpostgrad,Offensive
maybe shoulda inform cousin social anxiety take crowded bar bright side texas hott bitch,Offensive
maybe bitter as nigguh like obito,Offensive
maybe one maybe two maybe nigguh call,Offensive
maybe conceited bitch people would like,Offensive
maybe reluctantly do mean discrimination law state culturally queer people state,Offensive
maybe eat makeup pretty inside also bitch,Offensive
mayweather pussy he win cu pick fight pick nobody fighter fightpacquiao floydmayweather,Offensive
amp elizabeth bitch,Offensive
amp lew differ philosophy say smack bitch bet watch mouf,Offensive
amp next bitch go turn fashion side amp wear nun designer shit shit basic af,Offensive
bryan still bitch,Offensive
da iamcolinquinn gon na reboot da jefferson dis time gon na weezy married pre op trannies,Offensive
big ol titty bitch saverearose,Offensive
bitch,Offensive
bitch song ifihadme,Offensive
homie hou hefner rockin bitch night meetushere,Offensive
nig yungnaughti run shit miami court lose one game day,Offensive
nigguh stay doin,Offensive
call nigga shit bird amp nigga fuck fucking care,Offensive
n niccas ya type neva exchange wan na talk n still gain us,Offensive
mom honestly thank make bad bitch mom get ta stop,Offensive
meek mill say get yo game lose yo bitch damn laugh loud,Offensive
mei haruka tie take three cock pussy mouth,Offensive
member bitch put le front everything foreign motherfucker,Offensive
merry christmas bitch,Offensive
messi think ronaldo bitch could even make group ahaaaaa,Offensive
motherfucker care tha kid except niggas amp bitch,Offensive
motherfucker see picture couple walk stair together amp caption goal bitch go stair,Offensive
mino daboss willyroast caption gt nah bitch gon na keep virginity,Offensive
miami bitch,Offensive
michael sam cut prove fag belong football nfl heterosexual sport heterosexual,Offensive
might buy bitch bag weekend know,Offensive
miley cyrus want hump thing smoke weed retard as,Offensive
miley cyrus kinda look like retard care bear,Offensive
milk marie approve ugly hoe,Offensive
milk marie get pretty pussy call pink cause nigga fell love,Offensive
million dollar bitch slap ho,Offensive
million niggas rap make music like quality song spittin bar shit play wit bitch,Offensive
minus retard poor bot,Offensive
miss niggah leo,Offensive
miss lil bitch xmason lifex,Offensive
missouri get swag fag laugh as,Offensive
mitt romney go take away weave become president hoe go walkin around look like lil bill amp calliou,Offensive
mix bitch,Offensive
molly make bitch crazy,Offensive
mom really come find anything possible bitch,Offensive
mom say could chocolate milk past nine punched bitch pussy satan,Offensive
mom real bitch lately,Offensive
monday like saturday bitch turnup,Offensive
money gt gt gt gt best pussy,Offensive
money can not buy love pay pussy,Offensive
money make happy one bit money make feel comfortable anything get pussy dead as break though honest,Offensive
money impress break bitch,Offensive
money pussy amp freedom,Offensive
monkey see monkey narnfraud swiftee amp narnfraud pathetic disturbed pair thug mngop proud stribpol,Offensive
jordan drop trash fucked like pair include columbian,Offensive
niccas break always n limelight,Offensive
time think bitch gon na give pussy,Offensive
niccas think real tried derail,Offensive
bitch real,Offensive
mother nature drunk bitch know party,Offensive
